Date,Region,Category,Product,Quantity,Sales,Profit
2024-01-01,South,Stationery,Notebook,4,120.68,11.73
2024-01-01,East,Electronics,Smartphone,5,5975.19,483.15
2024-01-01,East,Stationery,Pen Set,7,182.99,27.22
2024-01-01,Central,Groceries,Snack Pack,11,391.64,40.18
2024-01-01,North,Electronics,Laptop,3,1906.12,156.31
2024-01-01,Central,Furniture,Sofa,10,1905.75,524.16
2024-01-01,East,Furniture,Sofa,2,1362.78,219.14
2024-01-01,South,Stationery,Backpack,5,195.35,13.48
2024-01-01,South,Clothing,T-Shirt,1,65.73,20.78
2024-01-02,East,Stationery,Backpack,10,178.17,52.99
2024-01-02,East,Electronics,Smartwatch,2,1368.94,161.38
2024-01-02,Central,Clothing,Cap,3,143.43,23.39
2024-01-02,North,Electronics,Laptop,2,883.25,232.99
2024-01-02,South,Clothing,Cap,3,228.56,49.33
2024-01-02,West,Clothing,Jeans,10,154.43,45.22
2024-01-02,North,Clothing,Sneakers,3,346.9,115.23
2024-01-02,East,Clothing,Jacket,11,575.58,87.09
2024-01-03,Central,Furniture,Sofa,5,546.73,55.78
2024-01-03,East,Groceries,Cereal,3,18.61,4.41
2024-01-03,West,Stationery,Sticky Notes,4,186.66,58.21
2024-01-03,North,Furniture,Sofa,6,1346.28,375.08
2024-01-03,Central,Groceries,Organic Juice,3,73.28,12.08
2024-01-03,South,Electronics,Smartwatch,11,4499.86,1511.92
2024-01-03,West,Groceries,Cereal,4,144.54,13.82
2024-01-04,South,Stationery,Sticky Notes,6,237.02,32.02
2024-01-04,South,Groceries,Coffee,11,293.63,98.16
2024-01-04,East,Electronics,Tablet,5,5133.88,646.94
2024-01-04,West,Stationery,Desk Lamp,5,228.71,24.15
2024-01-05,North,Clothing,Jacket,6,812.02,176.62
2024-01-05,Central,Furniture,Desk,9,5395.09,913.16
2024-01-05,South,Electronics,Laptop,5,1923.0,289.26
2024-01-05,East,Electronics,Tablet,2,1027.3,216.91
2024-01-05,North,Electronics,Smartphone,4,454.4,48.98
2024-01-05,Central,Groceries,Coffee,1,17.43,2.11
2024-01-06,West,Stationery,Desk Lamp,2,59.36,5.66
2024-01-06,Central,Stationery,Sticky Notes,3,207.15,51.81
2024-01-06,South,Furniture,Desk,11,1530.65,171.72
2024-01-06,West,Stationery,Sticky Notes,8,311.41,97.9
2024-01-06,South,Furniture,Desk,3,957.34,285.81
2024-01-06,South,Groceries,Olive Oil,4,59.83,18.92
2024-01-06,Central,Clothing,Jacket,5,276.81,88.78
2024-01-06,East,Groceries,Organic Juice,4,143.27,11.29
2024-01-06,Central,Stationery,Backpack,6,324.65,101.87
2024-01-07,West,Electronics,Smartwatch,10,1056.41,313.48
2024-01-07,Central,Stationery,Notebook,5,338.42,51.68
2024-01-07,East,Furniture,Desk,8,3559.14,1145.35
2024-01-07,North,Furniture,Dining Table,7,5010.22,580.29
2024-01-07,South,Groceries,Coffee,5,107.06,7.57
2024-01-07,East,Clothing,Sneakers,7,142.95,21.49
2024-01-07,South,Stationery,Sticky Notes,5,203.42,11.95
2024-01-08,North,Electronics,Headphones,3,1016.41,321.43
2024-01-08,East,Furniture,Sofa,10,5842.76,957.46
2024-01-08,Central,Clothing,Sneakers,3,355.48,85.39
2024-01-08,North,Clothing,Jacket,5,79.58,12.11
